IDENT,PROBLEM,ACTION
104869,screw missing from right-hand aft baffle.,installed new screw.
104870,number 3 cylinder intake gasket leaking.,removed and replaced with new intake gasket.
104871,number 3 and number 4 intakes leaking.,removed and replaced intake gaskets.
104872,baffle by starter worn through and cracked.,removed left-hand forward baffle and fabricated patch from like material
104873,number 2 rocker cover gasket leaking.,removed and replaced gasket.
104874,number 2 intake is leaking.,removed and replaced gasket.
104875,number 3 intake gasket leaking.,removed and replaced with new gasket.
104876,screw missing on number 1 cylinder baffle section.,replaced with new screw.
104877,number 3 rocker gasket is leaking.,removed and replaced with new silicone gasket.
104878,oil cooler bolt removed,reinstalled bolt
104879,"left,hand engine inboard forward baffle screw loose.",removed cowling to access screw. tightened screw.
104880,left-hand engine oil cooler baffle corner needs to be inspected. remove forward,completed installation of baffle.
104881,baffle seal on right front cylinder needs to be replaced.,replaced with new baffle seal. secured with pop rivets.
104882,"left, hand number 3 and number 4 intake gaskets leaking.",removed and replaced gaskets.
104883,engine intake boot torn.,replaced boot.
104884,number 4 cylinder intake gasket leaking.,removed and replaced gasket.
104885,"number 2, and number 4 intake gaskets are leaking.",removed and replaced gaskets.
104886,engine shaking and roughness on start up.,completed reassembly of engine. serviced engine with mine
104887,number 2 and number 4 intakes leaking.,replaced gaskets.
104888,number 3 cylinder has low compression.,for cylinder replacement.
104889,baffle plugs worn.,removed and replaced baffle plugs.
104890,"right, hand baffle plug hole needs doubler.",installed doubler.
104891,number 4 cylinder oil drain line clamps loose.,tightened clamps.
104892,number 2 cylinder intake gasket leaking.,removed and replaced gasket.
104893,cylinder number 3 compression 18 out of 80.,began disassembly of accessories to facilitate cylinder
104894,cylinder number 3 compression 18 out of 80.,installed and torqued new cylinder assembly. dry lash check good.
104895,cylinder number 3 compression 18 out of 80.,"completed installation of accessories, serviced sump with reference manual"
104896,top oil cooler hose kinked and not secured.,unkinked and secured hose.
104897,"left,hand engine number 1 and number 3 cylinder baffle rod loose.",tightened tie rod nut.
104898,number 3 cylinder baffle screw loose.,tightened screw.
104899,left baffle loose number 2 cylinder baffle seal.,reattached baffle seal.
104900,number 3 intake leaking.,removed and replaced intake gasket.
104901,"right-hand engine number 2, and number 4 intake gaskets leaking.",replaced intake gaskets.
104902,number 3 intake gasket leaking.,removed and replaced gasket.
104903,baffle plug is broken.,removed and replaced baffle plug.
104904,right engine baffle seal loose on bottom corner.,installed new seal in bottom corner.
104905,"angle broken, left-hand lower cowl outboard, near forward latch and pin hole.",replaced bracket with part made of like material.
104906,number 2 and number 3 rocker cover gaskets leaking.,removed and replaced gaskets.
104907,started engine and it ran well for about 30 seconds before loss of forwards,removed engine baffles to facilitate performing of lycoming
104908,started engine and it ran well for about 30 seconds before loss of forwards,"started aircraft, engine ran smooth for 20 seconds and then be started aircraft, engine ran smooth for 20 seconds"
104909,started engine and it ran well for about 30 seconds before loss of forwards,completed installation of baffles. ran up aircraft. operations and leak
104910,started engine and it ran well for about 30 seconds before loss of forwards,performed on cylinder number 4. installed all rocker cover
104911,number 3 aft baffle screw is loose.,tightened loose screw.
104912,"left, hand engine baffle access hole elongated.",installed doubler patch in accordance with se standard reference material.
104913,number 2 and number 4 rocker cover leaking.,removed and replaced gaskets.
104914,propeller could use a dressing; rough on edges. cht number 4 greater temperatures,"dressed propeller. ran aircraft, could not duplicate cht discrepancy"
104915,number 2 intake gasket leaking.,removed and replaced gasket.
104916,number 2 intake leaking.,replaced gasket.
104917,"number 2, and number 4 rocker cover gaskets leaking.",replaced number 2 gasket.
104918,"number 2, and number 4 rocker cover gaskets leaking.",replaced number 4 gasket.
104919,"number 2, and number 3 intake gaskets leaking.",removed and replaced gaskets.
104920,"right, hand number 3 intake gasket leaking.",removed and replaced gasket.
104921,number 1 intake is leaking.,removed and replaced gasket.
104922,propeller overspeed 2720 for 1 second.,"removed fdm card, researched data, found overspeed to be removed fdm card, researched data, found overspeed"
104923,number 3 cylinder cht greater than 200 degrees fahrenheit warmer than other cylinders.,"ran aircraft, could not duplicate discrepancy. all cht temperatures in accordance with reference manual"
104924,number 1 intake tube gasket leaking.,installed new gasket.
104925,number 3 engine baffle mounting screw loose.,tightened screw.
104926,"right, hand baffle plug is missing.",installed baffle plug
104927,"right, hand baffle plug needs patch.",installed baffle patch with rivets.
104928,forward engine black seal worn at engine induction.,applied silicone.
104929,number 3 and 4 intake gaskets are leaking.,replaced gaskets.
104930,side baffle plug holes are worn out.,installed riveted patches around holes.
104931,number 3 intake gasket leaking.,removed and replaced gasket.
104932,number 3 aft baffle bracket is cracked.,removed and replaced baffle bracket.
104933,"left,hand engine number 4 intake leaking.",removed and replaced gasket.
104934,baffle screw missing on number 2 cylinder baffle section.,installed screw.
104935,at least 3 instances throughout flight; the engine vibrated,"ran aircraft, could not duplicate. removed cowl and checked compression"
104936,at least 3 instances throughout flight; the engine vibrated,"ran engine again, operations check good. maintenance flight to be performed"
104937,engine started fine and ran at 1000 rpm. went to lean engine,performed seasonal adjustment of idle speed and mixture.
104938,number 3 intake leaking.,removed and replaced gasket.
104939,number 2 and number 3 rocker cover gaskets need to be replaced.,removed and replaced gaskets.
104940,number 3 intake leaking on right-hand engine.,removed and replaced gasket.
104941,"numbers 2, 3 and 4 intakes leaking on left-hand engine.",removed and replaced gaskets.
104942,number 2 rocker cover leaking.,removed and replaced gasket.
104943,number 3 intake leaking on right-hand engine.,removed and replaced gasket.
104944,intake 2 and 3 leaking on left-hand engine.,removed and replaced gaskets.
104945,right-hand rear engine baffle screw missing.,installed new screw.
104946,number 3 cylinder rocker cover egt standoff broken.,removed and replaced standoff.
104947,right-hand engine number 3 intake gasket leaking.,removed and replaced gasket.
104948,number 3 upper baffle seal missing on right-hand engine.,replaced baffle seal.
104949,loose screw on forward oil cooler shroud.,tightened screw.
104950,"number 2, and number 4 intercylinder baffle cracked.",stop drilled crack.
104951,"left,hand baffle plug damaged.",replaced baffle plug.
104952,number 4 intake oil leak.,inspected and found oil leak to be residual. cleaned area
104953,number 3 intake leaking.,removed and replaced intake gasket.
104954,"number 1, 2, and 3 rocker covers leaking.",removed and replaced gaskets.
104955,throttle loose at dash.,tightened backing nut.
104956,grounding area for new engine needs paint removed.,"cleaned paint away, both sides of area."
104957,forward left-hand engine baffle needs small patch over large crack and stop,"installed patch over area, like material standard reference material chapter 51 to 71"
104958,"engine chip detectors are removed and waiting for o, rings.","received o , rings. reinstalled chip plugs and safetied."
104959,during autorecovery engine rpm got to 3500.,changed oil and filter.
104960,number 3 rocker cover gasket leaks.,removed and replaced number 3 rocker cover gasket. leak check good
104961,during autorecovery engine rpm got to 3500.,"reviewed, determined to be 8 percent overspeed."
104962,during autorecovery engine rpm got to 3500.,removed exhaust and performed to cylinder number 1 and completed
104963,during autorecovery engine rpm got to 3500.,"removed rocker covers, number 2 and number 4 side baffles. performed stopped"
104964,during autorecovery engine rpm got to 3500.,"installed left-hand and right-hand side baffles, rocker covers, clamps"
104965,number 2 intake leaking.,replaced gasket.
104966,right-hand rear engine baffle mount loose.,resecured engine baffle mount.
104967,number 2 intake gasket leaking.,removed and replaced gasket.
104968,number 1 rocker cover gasket leaking.,removed and replaced gasket.
104969,sniffler valves need to be cleaned.,cleaned valves.
104970,forward engine black seal needs rtv where intake hits it.,installed rtv in worn areas.
104971,paint was not removed around engine grounding point.,removed paint and installed ground wire.
104972,baffle screw by oil dipstick missing.,"removed dipstick tube, installed new screw, installed tube"
104973,both baffle plugs worn engine.,removed and replaced both baffle plugs.
104974,"right, hand baffle tie broken.",installed new baffle tie.
104975,number 2 and number 4 intake gaskets are leaking.,replaced gaskets.
104976,left-hand engine center case bolt leaking oil.,leak check good.
104977,right-hand engine number 3 cylinder has low compression 16 out of 80.,operations and leak check good.
104978,left-hand engine center case bolt leaking oil.,"removed bolt, cleaned case, installed, torqued and sealed"
104979,right-hand engine number 3 cylinder has low compression 16 out of 80.,removed and replaced cylinder and piston with new in accordance with lycoming direction
104980,rpm went to red.,"removed fdm card, found to be less than 5 percent. no defects"
104981,"throttle idle, engine shutdown.","performed ground run, could not duplicate. operations good."
104982,number 3 intake tube gasket leaking.,installed new intake gasket.
104983,hardware missing at number 3 baffle.,installed new hardware.
104984,number 4 intake gasket leaks.,removed and replaced gasket.
104985,number 2 and number 4 intake gaskets leaking.,replaced gaskets.
104986,number 2 intake is leaking.,installed new gasket.
104987,"intakes 2, 3 and 4 leaking on left-hand engine.",removed and replaced gaskets.
104988,number 4 and number 3 intake leaking on right-hand engine.,removed and replaced intake gaskets.
104989,crack on bottom outboard corner of aft baffle at left-hand oil cooler.,stop drilled crack.
104990,bracket broken for number 4 baffle.,fabricated new bracket for number 4 baffle.
104991,clip for oil baffle cooler bracket worn.,fabricated clip and installed.
104992,number 1 intake gasket leaking.,installed new gasket.
104993,number 4 intake leaking on left-hand engine.,replaced intake gasket.
104994,number 1 and number 3 intakes leaking on right-hand engine.,replaced intake gaskets.
104995,number 1 rocker cover leaking on right-hand engine.,removed and replaced rocker cover gasket.
104996,engine baffle plugs are worn.,removed and replaced both baffle plugs.
104997,number 2 intake gasket leaking.,removed and replaced gasket.
104998,"number 1, and number 4 intake gaskets are leaking.",removed and replaced gaskets.
104999,number 1 and number 2 intakes leaking.,removed and replaced gaskets.
105000,engine to baffle attach fitting missing screw.,replaced screw.
105001,number 2 intake leaking.,installed new gasket.
105002,baffle screw missing above number 2 cylinder.,installed screw.
105003,number 3 intake gasket leaks.,removed and replaced gasket.
105004,number 1 and number 3 rocker cover gaskets leak.,removed and replaced gaskets.
105005,"screw for right-hand aft baffle, behind oil dipstick, loose.",tightened screw.
105006,"grounding wire to engine, paint not removed and bolt loose.",removed paint and secured bolt.
105007,"black baffle seal, forward engine, has small worn spot on left-hand side.",installed rtv to worn area.
105008,engine baffle plugs worn.,removed and replaced plugs.
105009,"number 1, and number 3 rocker cover gaskets leaking.",removed and replaced gaskets.
105010,right-hand rear baffle mounting screw is missing.,installed new screw.
105011,number 2 intake leaks.,removed and replaced gasket.
105012,both engine baffle plugs worn.,replaced with new.
105013,screw behind engine oil dipstick loose.,tightened screw.
105014,black forward seal has worn spots.,installed rtv to worn areas.
105015,left-hand engine cylinder number 4 intake gasket is leaking.,removed and replaced with new gasket.
105016,1 baffle plug is damaged.,removed and replaced baffle plug.
105017,rpm 2700 for 2 seconds.,"read fdm card data, found to be less than 5 percent. no defects"
105018,propeller overspeed 2750 for 5 seconds.,"inspected data on card. rpm found to 2703 point 4, no action"
105019,unusual attitude power was added and engine reached approximately 280,continued and started.
105020,unusual attitude power was added and engine reached approximately 280,completed and ran engine. operations and leak check
105021,unusual attitude power was added and engine reached approximately 280,"reviewed lycoming, determined overspeed to fall"
105022,baffle screw missing on number 3 cylinder.,installed new screw.
105023,rivet head sheared on alternator air door.,"removed rivet, installed new rivet in accordance with, chapter"
105024,right-hand engine number 2 intake is leaking.,replaced gasket.
105025,number 2 and 4 intakes leaking on left engine.,replaced gaskets.
105026,number 3 baffle screw missing.,replaced screw.
105027,"forward sniffler valve is leaking oil, fuel. there is a 6 inches puddle","inspected sniffler valves, no defects noted. removed sniffler valves, no defects noted. removed sniffler valves"
105028,number 4 intake is leaking.,removed and replaced gasket.
105029,number 1 forward baffle seal loose.,resecured seal.
105030,right-hand number 2 and number 4 rocker cover gaskets leaking.,removed and replaced with new gaskets.
105031,number 4 intake leaking.,removed and replaced intake gasket.
105032,"left, hand engine, number 4 intake gasket leaking.",replaced gasket.
105033,1 baffle plug is damaged.,replaced plug.
105034,number 4 rocker cover gasket is leaking.,replaced gasket.
105035,baffle screws loose on number 3 cylinder baffle.,leak check good.
105036,"3, and 4 intake gaskets leaking.",removed and replaced gaskets.
105037,baffle seal rivet pulled through on number 3 cylinder.,replaced with bigger rivet.
105038,"number 2, and number 4 rocker cover gaskets leaking.",removed and replaced with new gaskets.
105039,baffle screws loose on number 3 cylinder baffle.,partially removed number 3 cylinder baffling secured screws and oil
105040,"left,hand engine number 3 intake gasket leaks.",removed and replaced intake gasket.
105041,right-hand engine number 2 cylinder baffle seal loose.,tightened rivets on seal.
105042,"right-hand engine number 2, and number 3 intake leaking.",removed and replaced gaskets.
105043,number 2 intake leaking on left-hand engine.,replaced number 2 intake gasket.
105044,forward baffle seal loose at number 1 cylinder.,resecured baffle material.
105045,number 4 intake gasket leaking.,removed and replaced gasket.
105046,rocker cover screw missing on number 2 cylinder.,installed new screw on rocker cover.
105047,oil leak discovered on number 2 cylinder.,installed new number 2 rocker box cover gasket. resafetied box cover gasket. resafetied box cover
105048,number 2 and number 4 intakes leaking.,removed and replaced gaskets.
105049,oil leak on right forward cylinder intake tube.,replaced leaking rocker cover gasket.
105050,"high cylinder head temperatures, over 400 degrees.",cleaned debris from cooler system. inspected cylinders
105051,number 4 cylinder rocker cover gasket leaking.,replaced gasket.
105052,"oil coming out of top left, hand cowling.","ran up aircraft, leak check good."
105053,"oil coming out of top left, hand cowling.",removed cowling. cleaned engine.
105054,"oil coming out of top left, hand cowling.","performed ground run, verified oil leakage at lifting eye run"
105055,right-hand engine over temperature 503 degrees.,performed ground run; all systems check good. checked compressions
105056,"number 2, 3, and 4 intake gaskets on right-hand engine, leaking.",removed and replaced gaskets.
105057,intake gasket leaking on left-hand engine number 4 cylinder.,removed and replaced with new gasket.
105058,left-hand engine number 2 cylinder compression low.,"ran aircraft, leak check good."
105059,right-hand engine number 4 cylinder aft baffle has screw missing.,replaced screw.
105060,left-hand engine number 2 cylinder compression low.,"removed forward exhaust assembly, number 2 cylinder and baffles, right-hand side in accordance with reference manual"
105061,"forward baffle, by number 2 cylinder, cracked.",stop drilled crack.
105062,number 2 and number 4 intakes leaking.,removed and replaced gaskets.
105063,number 4 cylinder intake leak.,removed and replaced gasket.
105064,propeller strike requiring replacement of propeller,removed cowl. removed accessory housing. removed cranks
105065,propeller strike requiring replacement of propeller,"assembled accessory case, installed fuel pump, vacuum pump"
105066,intakes 2 and 4 leaking.,removed and replaced intake gaskets.
105067,"propeller overspeed in downdraft equals 2730 rpm, 2 and 3 seconds.",pulled and analyzed sd card to find top overspeed of 2722
105068,number 4 cylinder baffle section damaged.,removed and replaced baffle.
105069,engine grounding bolt loose.,tightened bolt.
105070,right-hand engine number 3 intake gasket leaking.,removed and replaced intake gasket.
105071,all hose clamps on rocker drains loose.,tightened all hose clamps.
105072,"2, 3 and 4 intakes leaking.",removed and replaced gaskets.
105073,number 1 cylinder baffle seal needs to be secured.,resecured seal with pop rivets.
105074,"left-hand engine, number 3 rocker cover gasket leaks.",removed and replaced gasket.
105075,"left,hand engine baffle seal loose by number 4 cylinder.",riveted baffle seal to baffle.
105076,standoff on cylinder number 3 broken.,removed and replaced standoff.
105077,2 and 4 intake gaskets leaking.,removed and replaced gaskets.
105078,both engine baffle plugs are worn.,installed 2 new plugs.
105079,black forward seal on engine worn in spots and loose on left-hand side.,applied rtv to worn areas and secured loose section.
105080,"during flight, left-hand engine was running rough. could not get valve",magneto timing checked good. bore scoped cylinder number 4; no defects noted
105081,"during flight, left-hand engine was running rough. could not get valve","performed ground run, no defects noted. pulled engine"
105082,"during run up, brought throttle to idle; engine shutdown.",ran aircraft and found low idle speed. adjusted idle speed.
105083,baffle plugs worn.,removed and replaced baffle plugs.
105084,left-hand engine number 2 and number 4 intake gaskets leak.,replaced both intake gaskets.
105085,number 4 intake gasket leaking.,removed and replaced gasket.
105086,"baffle seal is loose on forward bottom right, hand side.",secured baffle seal.
105087,number 3 intake leaking.,removed and replaced gasket.
105088,engine was sputtering like it was going to cut out at 1000 rpm,ran up engine. could not duplicate discrepancy. engine runs
105089,stuck valve on number 3 cylinder. damage to push rod and housing.,reassembled cylinder.
105090,stuck valve on number 3 cylinder. damage to push rod and housing.,leak and operations check good.
105091,stuck valve on number 3 cylinder. damage to push rod and housing.,"removed cylinder assembly, installed new cylinder assembly using serviceable"
105092,number 3 and number 2 intake gaskets leaking.,removed and replaced gaskets.
105093,sniffler valves dirty.,cleaned sniffler valves.
105094,number 4 cylinder intake gasket leaks.,replaced gasket.
105095,number 2 and number 4 upper leads need to be secured at battery cooling.,used tie wrap standoff and secured.
105096,number 2 intake gasket leaking.,replaced gasket.
105097,right-hand engine number 2 intake gasket leaking.,installed new intake gasket.
105098,number 3 baffle needs to be patched. button plug hole has worn too,installed riveted patch and replaced both baffle plugs.
105099,number 2 intake leaking on right-hand engine.,removed and replaced gasket.
105100,number 3 and 4 intakes leaking on left-hand engine.,removed and replaced gaskets.
105101,number 4 intake gasket leaking.,removed and replaced gasket.
105102,oversped propeller to 2720 rpm for approximately 1 second.,removed data card from aircraft and downloaded data. complied with lycom
105103,right-hand engine number 3 intake gasket leaks.,removed and replaced gasket.
105104,number 2 front baffle is cracked.,stop drilled crack.
105105,right-hand engine baffle access hole elongated.,installed a riveted patch.
105106,number 1 cylinder baffle unsecure.,secured with rivets in 4 places.
105107,number 4 intake gasket leaks.,removed and replaced gasket.
105108,number 4 intake leaking.,replaced gasket.
105109,number 4 intake gasket leaking.,replaced gasket.
105110,rough running engine on start up.,"found number 2 exhaust guide tight, with carbon. reamed all exhaust"
105111,number 2 and number 3 intake gaskets leaking.,removed and replaced intake gaskets.
105112,impeller is dirty.,cleaned impeller.
105113,propeller was oversped to 2720 for 6 seconds.,"removed data card and reviewed information, found overspeed"
105114,"right-hand baffle seal, by number 2 cylinder, torn.",removed torn baffle seal.
105115,right-hand number 2 rocker cover gasket leaks.,removed and replaced gasket.
105116,"right-hand baffle seal, by number 2 cylinder, torn.",made new seals and installed.
105117,"right, hand number 3 intake gasket leaking.",removed and replaced with new gasket.
105118,"left, hand engine outboard baffle tie rod broken.",installed new baffle tie rod.
105119,"right-hand number 1, and number 3 oil return lines loose.",repositioned and tightened number 1 and number 3 oil return line clamps.
105120,number 1 intake leaking.,removed and replaced gasket. leak check good.
105121,forward right-hand baffle needs to be sealed.,sealed baffle.
105122,number 4 intake gasket leaking.,removed and replaced gasket.
105123,upon engine start up; when increasing throttle to 1200 to lean,"ran aircraft, performed fouled plug procedure. operations good."
105124,"forward baffling, aft of alternator, is cracked.",stop drilled crack.
105125,right-hand baffle spring pulled through aft baffling.,drilled new hole and installed new spring.
105126,number 4 intake gasket leaks.,removed and replaced gasket.
105127,number 2 and number 4 intakes leaking.,removed and replaced gaskets.
105128,baffle plugs worn.,removed and replaced baffle plugs.
105129,number 4 intake gasket leaking.,removed and replaced gasket.
105130,number 3 intake is leaking.,removed and replaced gasket.
105131,"left, hand baffle cracked by number 3 cylinder.",stop drilled crack.
105132,"left, hand number 3 intake gasket leaking.",removed and replaced gasket.
105133,"left-hand engine runs at 2700, right-hand only 2600.",adjusted fine adjustment screw on governor 4 turns count
105134,number 1 intake leaking.,removed and replaced gasket.
105135,number 1 and number 4 rocker covers leaking.,removed and replaced gaskets.
105136,engine baffle seal loose by number 1 cylinder.,resecured baffle seal.
105137,"on climb out, had an audible rpm drop and loss of 400 rpm.",performed ground run; unable to duplicate. performed complied with reference manual
105138,engine ran very rough a few different times in pattern. rpm,"ran aircraft, performed magneto check several times, no defects."
105139,oil breather leaking.,"removed cowling and cleaned engine. ran aircraft, found access"
105140,oil breather leaking.,"removed oil sump, replaced gasket, reinstalled oil sump"
105141,cylinder number 4 intake gasket leaking.,removed and replaced gasket.
105142,propeller overspeed to 2630.,inspected data from fdm card. found to be 2667 point 8
105143,number 3 aft baffle is cracked.,stop drilled crack.
105144,right-hand forward engine baffle cracked.,stop drilled crack.
105145,right-hand baffle by number 1 cylinder cracked.,stop drilled crack.
105146,"right-hand number 1, and number 2 intake gaskets leaking.",removed and replaced intake gaskets.
105147,left-hand engine number 2 cylinder compression low.,operations and leak check good.
105148,left-hand engine number 2 cylinder compression low.,removed hardware and attaching components to number 2 cylinder. removed hardware and attaching components to number 2 cylinder.
105149,oil cooler weather stripping loose.,reattached weather stripping.
105150,baffling cracked on number 1 cylinder.,stop drilled crack.
105151,number 2 intake tube gasket leaking.,installed new intake gasket.
105152,number 3 rocker box cover gasket leaking.,replaced number 3 rocker box gasket.
105153,right-hand rear engine baffle mount rivets broken.,removed cylinder number 3 aft baffle. replaced damaged fasteners
105154,number 2 intake is leaking.,removed and replaced intake gasket.
105155,rocker cover screw is missing.,replaced missing screw.
105156,number 2 cylinder intake leaking.,removed and replaced gasket.
105157,"left, hand number 4 rocker cover gasket leaks.",removed and replaced gasket.
105158,"after engine start, engine was running rough below 1000 rpm.","ran aircraft, no defects noted. performed phase 4 inspection."
105159,number 4 intake leaking.,removed and replaced gasket.
105160,"left, hand outboard baffle tie rod broken.",replaced tie rod.
105161,front lower baffle has hole in it from muffler shroud.,fabricated baffle of like material and installed.
105162,"left,hand forward baffle cracked.",repaired baffle with doubler.
105163,"left,hand forward baffle cracked.",reinstalled repaired baffle.
105164,"left,hand forward baffle cracked.",removed baffle extra time needed for paperwork errors
105165,forward baffle seal missing from muffler intake on baffle.,installed new baffle seal.
105166,"right, hand rear baffle has sheared rivet.","removed baffle, drilled out rivets and reinstalled with screw"
105167,"numbers 1, 3 and 4 rocker covers are leaking.",removed and replaced gaskets.
105168,right-hand engine aft baffle cracked near oil cooler.,stop drilled crack.
105169,"right-hand engine, right-hand baffle tie rod requires adjustment.",adjusted tie rod.
105170,right-hand engine number 3 intake gasket leaking.,removed and replaced intake gasket.
105171,number 1 cylinder wire standoff is broken.,removed and replaced standoff.
105172,number 3 cylinder intake gasket leaking.,removed and replaced gasket.
105173,number 3 cylinder push rod exhaust housing gasket leaking.,leak check good.
105174,engine rpm would not stabilize. constantly varying and studder,could not duplicate discrepancy.
105175,number 3 cylinder push rod exhaust housing gasket leaking.,"installed new seals on push rod tube, reassembled."
105176,during entire flight left-hand rpm would increase significantly,"performed full ground run, operations checked good. inspected left-hand engine"
105177,"intakes number 2, 3, and 4 leaking.",replaced intake gaskets.
105178,number 1 rocker cover gasket leaks.,removed and replaced gasket.
105179,right-hand rear engine baffle mount loose.,"removed engine baffle, tightened screws and reinstalled engine baffle"
105180,number 3 intake leaking.,removed and replaced gasket.
105181,sniffler valves dirty.,cleaned sniffler valves.
105182,engine air filter dirty.,removed and replaced engine air filter. next due 7 degrees / 17
105183,oil pressure sender ground strap not connected.,reconnected oil psi sender ground strap.
105184,both baffle plugs broken.,replaced both baffle plugs.
105185,baffle seal by number 1 cylinder loose.,riveted baffle seal to baffle.
105186,number 1 and number 2 intakes leaking.,removed and replaced gaskets.
105187,left-hand engine number 2 and number 3 intake gaskets leaking.,replaced both gaskets.
105188,number 2 intake leaking.,removed and replaced gasket.
105189,number 2 and number 4 intakes leaking.,removed and replaced gaskets.
105190,right-hand engine number 3 intake tube gasket leaking.,removed and replaced with new gasket.
105191,baffle wire broken.,removed and replaced baffle tie.
105192,"bracket for baffle, behind oil tube, cracked.",removed and replaced bracket.
105193,number 4 cylinder aft baffle cracked.,drilled off cracked portion of baffle. fabricated piece
105194,number 3 cylinder side and aft baffles cracked.,fabricated patch of like material on aft baffle and rivet
105195,number 4 intake leaking.,removed and replaced gasket.
105196,number 1 rocker cover leaking.,removed and replaced gasket.
105197,right-hand aft baffle screw loose.,resecured screw.
105198,during climb out the engine ran rough. sputtering was also noted,"performed ground run of aircraft, no defects found. inspected"
105199,"left,hand engine number 4 cylinder baffle wire standoff broken.",secured wires to oil pan.
105200,number 2 cylinder on left-hand engine baffle seal needs to be secured.,secured baffle seal with pop rivets.
105201,number 4 rocker cover gasket leaking on left-hand engine.,removed and replaced with new silicone gasket.
105202,number 4 intake gasket leaking on left-hand engine.,removed and replaced with new intake gasket. found primer line
105203,number 1 cylinder baffle seal needs to be replaced on left-hand engine.,removed old seal and installed new seal.
105204,"cowl seal missing, loose on lower right-hand engine.",reglued in position.
105205,number 2 intake gasket is leaking.,removed and replaced gasket.
105206,right-hand engine carb heat box arm loose.,resecured carb heat box arm.
105207,carb inlet gaskets leaking on both engines.,removed and replaced left-hand gasket.
105208,carb inlet gaskets leaking on both engines.,removed and replaced right-hand gasket.
105209,number 2 intake gasket leaking.,removed and replaced gasket.
105210,"left,hand inner engine baffle tie is disconnected.",reconnected baffle tie.
105211,number 4 intake gasket is leaking.,replaced gaskets. leak check good.
105212,"baffle plugs are loose, patches are needed.",installed baffle patches.
105213,number 2 intake leaking.,removed and replaced intake gasket.
105214,"engine ran rough after start up, with gains and drops of about 8 pounds","performed ground run, operations checked good. no defects noted."
105215,number 3 and number 4 intakes leaking.,replaced intake gaskets.
105216,idle low.,"performed seasonal adjustment, operations good."
105217,during post flight found oil on intake pipes.,"cleaned oil, ran aircraft, no leaks noted. found oil to be recleaned"
105218,"left,hand engine number 2 intake gasket leaking.",removed and replaced intake gasket.
105219,right-hand engine number 4 intake gasket leaking.,removed and replaced intake gasket.
105220,right-hand engine number 3 rocker cover gasket leaking.,"removed cover, found debris under silicone gasket. clearance with removed cover, found debris under silicone gasket."
105221,"oil leak above left, hand magneto.",leak check good.
105222,both oil coolers dirty.,cleaned oil coolers.
105223,sniffler valves dirty.,cleaned sniffler valves.
105224,"oil leak above left, hand magneto.",removed and replaced gasket.
105225,number 1 and number 4 intakes have evidence of leaking.,removed and replaced gaskets.
105226,rough engine on takeoff,ran up to check for rough running after takeoff. magnetos check
105227,rough engine on takeoff,for billing purposes only
105228,engine idle speed 1650 rpm.,adjusted idle.
105229,baffle plugs are loose.,installed baffle plug patches and new plugs.
105230,number 4 intake leaking.,removed and replaced gasket.
105231,oil cooler is dirty.,cleaned oil cooler.
105232,number 1 and number 4 intakes leaking on right-hand engine.,removed and replaced gaskets.
105233,"intakes numbers 2, 3 and 4 leaking on left-hand engine.",removed and replaced intake gaskets.
105234,"right, hand air intake hose not hooked up.","reinstalled scat tubing, tightened clamp."
105235,number 2 intake gasket leaking.,replaced gasket.
105236,baffle seal above number 3 cylinder loose.,resecured baffle seal.
105237,"left,hand aft standoff broken.",replaced standoff.
105238,inner baffle tie disconnected.,reattached baffle tie.
105239,number 2 and number 3 rocker covers leaking.,removed and replaced gaskets.
105240,number 2 intake leaking.,replaced gasket.
105241,right-hand aft baffle bracket has broken rivets.,removed baffle. removed and replaced damaged rivets.
105242,number 3 cylinder rocker cover missing screw.,installed missing screw.
105243,rough engine,for billing purposes only
105244,rough engine,removed engine cylinder top and bottom spark plugs. cleaned and cleaned
105245,"number 4 intake leaking, left-hand engine.",replaced gasket.
105246,right-hand engine number 2 cylinder intake gasket leaking.,installed new gasket.
105247,"after start up, engine died.","ran up and warmed up engine, no defects noted. operations checked"
105248,right-hand engine backbone bolt leaks a little oil.,leak check good.
105249,"right-hand engine number 1, and number 2 intakes leaking.",removed and replaced gaskets.
105250,right-hand engine number 4 rocker cover leaking.,removed and replaced gasket.
105251,right-hand engine backbone bolt leaks a little oil.,cleaned out and installed sealant.
105252,number 3 cylinder has low compression.,oil has been drained.
105253,number 3 cylinder has low compression.,operations and leak check good. removed and replaced push rod.
105254,number 3 cylinder has low compression.,removed cylinder. transferred injector and cht probe
105255,any increase in throttle would cause sputter and drop in rpm.,performed ground run with engine at operating temperature.
105256,number 4 intake gasket leaks.,removed and replaced gasket.
105257,number 4 intake gasket leaking.,installed new gasket.
105258,after storage run needed.,"ran aircraft, all checks good."
105259,number 2 cylinder compression low.,run up and leak check good.
105260,"baffle tie rod in between number 1 and number 3 cylinder, not hooked up.",installed baffle rod.
105261,number 2 cylinder compression low.,removed baffling for number 2 cylinder and attaching parts. removed
105262,"right-hand engine, right-hand aft engine baffle cracked.",stop drilled crack.
105263,left-hand engine number 3 and 4 intake tube gaskets leaking.,installed new gaskets.
105264,right-hand engine number 3 intake tube gasket leaking.,removed and replaced gasket with new.
105265,number 4 intake gasket leaking.,removed and replaced with new gasket.
105266,right-hand engine number 1 intake is leaking.,removed and replaced gasket with new.
