ID,PROBLEM,ACTION,CLEANED,EDIT
105113,PROP WAS OVERSPED TO 2720 FOR 6 SECONDS.,"REMOVED DATA CARD & REVIEWED INFORMATION, FOUND OVERSPE","PROPELLER WAS OVERSPED TO TWENTY SEVEN HUNDRED AND TWENTY FOR SIX SECONDS. REMOVED DATA CARD AND REVIEWED INFORMATION, FOUND OVERSPEED",CUTOFF - C
105114,"R/H BAFFLE SEAL, BY #2 CYL, TORN.",REMOVED TORN BAFFLE SEAL.,"RIGHT-HAND BAFFLE SEAL, BY NUMBER TWO CYLINDER, TORN. REMOVED TORN BAFFLE SEAL.",
105115,R/H #2 ROCKER COVER GASKET LEAKS.,REMOVED & REPLACED GASKET.,RIGHT-HAND NUMBER TWO ROCKER COVER GASKET LEAKS. REMOVED AND REPLACED GASKET.,
105116,"R/H BAFFLE SEAL, BY #2 CYL, TORN.",MADE NEW SEALS & INSTALLED.,"RIGHT-HAND BAFFLE SEAL, BY NUMBER TWO CYLINDER, TORN. MADE NEW SEALS AND INSTALLED.",
105117,R/H #3 INTAKE GASKET LEAKING.,REMOVED & REPLACED W/ NEW GASKET.,RIGHT-HAND NUMBER THREE INTAKE GASKET LEAKING. REMOVED AND REPLACED WITH NEW GASKET.,
105118,L/H ENG O/B BAFFLE TIE ROD BROKEN.,INSTALLED NEW BAFFLE TIE ROD.,LEFT-HAND ENGINE OUTBOARD BAFFLE TIE ROD BROKEN. INSTALLED NEW BAFFLE TIE ROD.,
105119,"R/H #1, 3 OIL RETURN LINES LOOSE.",REPOSITIONED & TIGHTENED #1 & 3 OIL RETURN LINE CLAMPS.,"RIGHT-HAND NUMBER ONE, AND NUMBER THREE OIL RETURN LINES LOOSE. REPOSITIONED AND TIGHTENED NUMBER ONE AND NUMBER THREE OIL RETURN LINE CLAMPS.",
105120,#1 INTAKE LEAKING.,REMOVED & REPLACED GASKET. LEAK CK GOOD.,NUMBER ONE INTAKE LEAKING. REMOVED AND REPLACED GASKET. LEAK CHECK GOOD.,
105121,FWD R/H BAFFLE NEEDS TO BE SEALED.,SEALED BAFFLE.,FORWARD RIGHT-HAND BAFFLE NEEDS TO BE SEALED. SEALED BAFFLE.,
105122,#4 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,NUMBER FOUR INTAKE GASKET LEAKING. REMOVED AND REPLACED GASKET.,
105123,UPON ENGINE START UP; WHEN INCREASING THROTTLE TO 1200 TO LE,"RAN A/C, PERFORMED FOULED PLUG PROCEDURE. OPS GOOD. RAN","UPON ENGINE START UP; WHEN INCREASING THROTTLE TO TWELVE HUNDRED TO LEAN. RAN AIRCRAFT, PERFORMED FOULED PLUG PROCEDURE. OPERATIONS GOOD.","CUTOFF - C, CUTOFF - T"
105124,"FWD BAFFLING, AFT OF ALTERNATOR, IS CRACKED.",STOP DRILLED CRACK.,"FORWARD BAFFLING, AFT OF ALTERNATOR, IS CRACKED. STOP DRILLED CRACK.",
105125,R/H BAFFLE SPRING PULLED THROUGH AFT BAFFLING.,DRILLED NEW HOLE & INSTALLED NEW SPRING.,RIGHT-HAND BAFFLE SPRING PULLED THROUGH AFT BAFFLING. DRILLED NEW HOLE AND INSTALLED NEW SPRING.,
105126,#4 INTAKE GASKET LEAKS.,REMOVED & REPLACED GASKET.,NUMBER FOUR INTAKE GASKET LEAKS. REMOVED AND REPLACED GASKET.,
105127,#2 & 4 INTAKES LEAKING.,REMOVED & REPLACED GASKETS.,NUMBER TWO AND NUMBER FOUR INTAKES LEAKING. REMOVED AND REPLACED GASKETS.,
105128,BAFFLE PLUGS WORN.,REMOVED & REPLACED BAFFLE PLUGS.,BAFFLE PLUGS WORN. REMOVED AND REPLACED BAFFLE PLUGS.,
105129,#4 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,NUMBER FOUR INTAKE GASKET LEAKING. REMOVED AND REPLACED GASKET.,
105130,#3 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,NUMBER THREE INTAKE IS LEAKING. REMOVED AND REPLACED GASKET.,
105131,L/H BAFFLE CRACKED BY #3 CYL.,STOP DRILLED CRACK.,LEFT-HAND BAFFLE CRACKED BY NUMBER THREE CYLINDER. STOP DRILLED CRACK.,
105132,L/H #3 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,LEFT-HAND NUMBER THREE INTAKE GASKET LEAKING. REMOVED AND REPLACED GASKET.,
105133,"L/H ENGINE RUNS @ 2700, R/H ONLY 2600.",ADJUSTED FINE ADJUSTMENT SCREW ON GOVERNOR 4 TURNS COUN,"LEFT-HAND ENGINE RUNS AT TWENTY SEVEN HUNDRED, RIGHT-HAND ONLY TWENTY SIX HUNDRED. ADJUSTED FINE ADJUSTMENT SCREW ON GOVERNOR FOUR TURNS COUNTERCLOCKWISE",CUTOFF - C
105134,#1 INTAKE LEAKING.,REMOVED & REPLACED GASKET.,NUMBER ONE INTAKE LEAKING. REMOVED AND REPLACED GASKET.,
105135,#1 & 4 ROCKER COVERS LEAKING.,REMOVED & REPLACED GASKETS.,NUMBER ONE AND NUMBER FOUR ROCKER COVERS LEAKING. REMOVED AND REPLACED GASKETS.,
105136,ENGINE BAFFLE SEAL LOOSE BY #1 CYLINDER.,RESECURED BAFFLE SEAL.,ENGINE BAFFLE SEAL LOOSE BY NUMBER ONE CYLINDER. RESECURED BAFFLE SEAL.,
105137,"ON CLIMB OUT, HAD AN AUDIBLE RPM DROP & LOSS OF 400 RPM. ENG",PERFORMED GROUND RUN; UNABLE TO DUPLICATE. PERFORMED CO,"ON CLIMB OUT, HAD AN AUDIBLE RPM DROP AND LOSS OF FOUR HUNDRED RPM. ENGINE PERFORMED GROUND RUN; UNABLE TO DUPLICATE.",CUTOFF - T
105138,ENGINE RAN VERY ROUGH A FEW DIFFERENT TIMES IN PATTERN. RPM,"RAN A/C, PERFORMED MAG CK SEVERAL TIMES - NO DEFECTS. R","ENGINE RAN VERY ROUGH A FEW DIFFERENT TIMES IN PATTERN. RPM RAN AIRCRAFT, PERFORMED MAGNETO CHECK SEVERAL TIMES, NO DEFECTS.","CUTOFF - T, PUNC - D"
105139,OIL BREATHER LEAKING.,"REMOVED COWLING & CLEANED ENGINE. RAN A/C, FOUND ACCESS",OIL BREATHER LEAKING. REMOVED COWLING AND CLEANED ENGINE. RAN AIRCRAFT,CUTOFF - T
105140,OIL BREATHER LEAKING.,"REMOVED OIL SUMP, REPLACED GASKET, REINSTALLED OIL SUMP","OIL BREATHER LEAKING. REMOVED OIL SUMP, REPLACED GASKET, REINSTALLED OIL SUMP",
105141,CYL #4 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,CYLINDER NUMBER FOUR INTAKE GASKET LEAKING. REMOVED AND REPLACED GASKET.,
105142,PROP OVERSPEED TO 2630.,INSPECTED DATA FROM FDM CARD. FOUND TO BE 2667.8; WHICH,PROPELLER OVERSPEED TO TWENTY SIX HUNDRED AND THIRTY. INSPECTED DATA FROM FDM CARD. FOUND TO BE TWENTY SIX HUNDRED AND SIXTY SEVEN POINT EIGHT,CUTOFF - T
105143,#3 AFT BAFFLE IS CRACKED.,STOP DRILLED CRACK.,NUMBER THREE AFT BAFFLE IS CRACKED. STOP DRILLED CRACK.,
105144,R/H FWD ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK.,RIGHT-HAND FORWARD ENGINE BAFFLE CRACKED. STOP DRILLED CRACK.,
105145,R/H BAFFLE BY #1 CYL CRACKED.,STOP DRILLED CRACK.,RIGHT-HAND BAFFLE BY NUMBER ONE CYLINDER CRACKED. STOP DRILLED CRACK.,
105146,"R/H #1, 2 INTAKE GASKETS LEAKING.",REMOVED & REPLACED INTAKE GASKETS.,"RIGHT-HAND NUMBER ONE, AND NUMBER TWO INTAKE GASKETS LEAKING. REMOVED AND REPLACED INTAKE GASKETS.",
105147,L/H ENG #2 CYLINDER COMPRESSION LOW.,OPS & LEAK CK GOOD.,LEFT-HAND ENGINE NUMBER TWO CYLINDER COMPRESSION LOW. OPERATIONS AND LEAK CHECK GOOD.,
105148,L/H ENG #2 CYLINDER COMPRESSION LOW.,REMOVED HARDWARE & ATTACHING COMPONENTS TO #2 CYL. REMO,LEFT-HAND ENGINE NUMBER TWO CYLINDER COMPRESSION LOW. REMOVED HARDWARE AND ATTACHING COMPONENTS TO NUMBER TWO CYLINDER.,CUTOFF - T
105149,OIL COOLER WEATHER STRIPPING LOOSE.,REATTACHED WEATHER STRIPPING.,OIL COOLER WEATHER STRIPPING LOOSE. REATTACHED WEATHER STRIPPING.,
105150,BAFFLING CRACKED ON #1 CYLINDER.,STOP DRILLED CRACK.,BAFFLING CRACKED ON NUMBER ONE CYLINDER. STOP DRILLED CRACK.,
105151,#2 INTAKE TUBE GASKET LEAKING.,INSTALLED NEW INTAKE GASKET.,NUMBER TWO INTAKE TUBE GASKET LEAKING. INSTALLED NEW INTAKE GASKET.,
105152,#3 ROCKER BOX COVER GASKET LEAKING.,REPLACED #3 ROCKER BOX GASKET.,NUMBER THREE ROCKER BOX COVER GASKET LEAKING. REPLACED NUMBER THREE ROCKER BOX GASKET.,
105153,R/H REAR ENGINE BAFFLE MOUNT RIVETS BROKEN.,REMOVED CYL #3 AFT BAFFLE. REPLACED DAMAGED FASTENERS &,RIGHT-HAND REAR ENGINE BAFFLE MOUNT RIVETS BROKEN. REMOVED CYLINDER NUMBER THREE AFT BAFFLE. REPLACED DAMAGED FASTENERS,CUTOFF - T
105154,#2 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE GASKET.,NUMBER TWO INTAKE IS LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
105155,ROCKER COVER SCREW IS MISSING.,REPLACED MISSING SCREW.,ROCKER COVER SCREW IS MISSING. REPLACED MISSING SCREW.,
105156,#2 CYL INTAKE LEAKING.,REMOVED & REPLACED GASKET.,NUMBER TWO CYLINDER INTAKE LEAKING. REMOVED AND REPLACED GASKET.,
105157,L/H #4 ROCKER COVER GASKET LEAKS.,REMOVED & REPLACED GASKET.,LEFT-HAND NUMBER FOUR ROCKER COVER GASKET LEAKS. REMOVED AND REPLACED GASKET.,
105158,"AFTER ENGINE START, ENGINE WAS RUNNING ROUGH BELOW 1000 RPM.","RAN A/C, NO DEFECTS NOTED. PERFORMED  PHASE 4 INSP.","AFTER ENGINE START, ENGINE WAS RUNNING ROUGH BELOW ONE THOUSAND RPM. RAN AIRCRAFT, NO DEFECTS NOTED. PERFORMED  PHASE FOUR INSPECTION.",
105159,#4 INTAKE LEAKING.,REMOVED & REPLACED GASKET.,NUMBER FOUR INTAKE LEAKING. REMOVED AND REPLACED GASKET.,
105160,L/H O/B BAFFLE TIE ROD BROKEN.,REPLACED TIE ROD.,LEFT-HAND OUTBOARD BAFFLE TIE ROD BROKEN. REPLACED TIE ROD.,
105161,FRONT LOWER BAFFLE HAS HOLE IN IT FROM MUFFLER SHROUD.,FABRICATED BAFFLE OF LIKE MATERIAL & INSTALLED.,FRONT LOWER BAFFLE HAS HOLE IN IT FROM MUFFLER SHROUD. FABRICATED BAFFLE OF LIKE MATERIAL AND INSTALLED.,
105162,L/H FWD BAFFLE CRACKED.,REPAIRED BAFFLE W/ DOUBLER.,LEFT-HAND FORWARD BAFFLE CRACKED. REPAIRED BAFFLE WITH DOUBLER.,
105163,L/H FWD BAFFLE CRACKED.,REINSTALLED REPAIRED BAFFLE.,LEFT-HAND FORWARD BAFFLE CRACKED. REINSTALLED REPAIRED BAFFLE.,
105164,L/H FWD BAFFLE CRACKED.,REMOVED BAFFLE (EXTRA TIME NEEDED FOR PAPERWORK ERRORS),"LEFT-HAND FORWARD BAFFLE CRACKED. REMOVED BAFFLE, EXTRA TIME NEEDED FOR PAPERWORK ERRORS",PUNC - B
105165,FWD BAFFLE SEAL MISSING FROM MUFFLER INTAKE ON BAFFLE.,INSTALLED NEW BAFFLE SEAL.,FORWARD BAFFLE SEAL MISSING FROM MUFFLER INTAKE ON BAFFLE. INSTALLED NEW BAFFLE SEAL.,
105166,R/H REAR BAFFLE HAS SHEARED RIVET.,"REMOVED BAFFLE, DRILLED OUT RIVETS & REINSTALLED W/ SCR","RIGHT-HAND REAR BAFFLE HAS SHEARED RIVET. REMOVED BAFFLE, DRILLED OUT RIVETS AND REINSTALLED WITH SCREWS",CUTOFF - C
105167,"#1, 3 & 4 ROCKER COVERS ARE LEAKING.",REMOVED & REPLACED GASKETS.,"NUMBERS ONE, THREE AND FOUR ROCKER COVERS ARE LEAKING. REMOVED AND REPLACED GASKETS.",
105168,R/H ENG AFT BAFFLE CRACKED NEAR OIL COOLER.,STOP DRILLED CRACK.,RIGHT-HAND ENGINE AFT BAFFLE CRACKED NEAR OIL COOLER. STOP DRILLED CRACK.,
105169,"R/H ENG, R/H BAFFLE TIE ROD REQUIRES ADJUSTMENT.",ADJUSTED TIE ROD.,"RIGHT-HAND ENGINE, RIGHT-HAND BAFFLE TIE ROD REQUIRES ADJUSTMENT. ADJUSTED TIE ROD.",
105170,R/H ENG #3 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.,RIGHT-HAND ENGINE NUMBER THREE INTAKE GASKET LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
105171,#1 CYLINDER WIRE STANDOFF IS BROKEN.,REMOVED & REPLACED STANDOFF.,NUMBER ONE CYLINDER WIRE STANDOFF IS BROKEN. REMOVED AND REPLACED STANDOFF.,
105172,#3 CYL INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,NUMBER THREE CYLINDER INTAKE GASKET LEAKING. REMOVED AND REPLACED GASKET.,
105173,#3 CYL PUSH ROD (EXHAUST) HOUSING GASKET LEAKING.,LEAK CK GOOD.,"NUMBER THREE CYLINDER PUSH ROD, EXHAUST, HOUSING GASKET LEAKING. LEAK CHECK GOOD.",PUNC - B
105174,ENGINE RPM WOULD NOT STABILIZE. CONSTENTLY VARYING & STUDDER,COULD NOT DUPLICATE DISCREP.,ENGINE RPM WOULD NOT STABILIZE. CONSTANTLY VARYING AND STUDDERING. COULD NOT DUPLICATE DISCREPANCY.,CUTOFF - C
105175,#3 CYL PUSH ROD (EXHAUST) HOUSING GASKET LEAKING.,"INSTALLED NEW SEALS ON PUSH ROD TUBE, REASSEMBLED.","NUMBER THREE CYLINDER PUSH ROD, EXHAUST, HOUSING GASKET LEAKING. INSTALLED NEW SEALS ON PUSH ROD TUBE, REASSEMBLED.",PUNC - B
105176,"DURING ENTIRE FLIGHT L/H RPM WOULD INCREASE SIGNIFICANTLY, R","PERFORMED FULL GROUND RUN, OPS CK'ED GOOD. INSP L/H ENG","DURING ENTIRE FLIGHT LEFT-HAND RPM WOULD INCREASE SIGNIFICANTLY. PERFORMED FULL GROUND RUN, OPERATIONS CHECKED GOOD. INSPECTED LEFT-HAND ENGINE",CUTOFF - T
105177,"INTAKES #2, 3, 4 LEAKING.",REPLACED INTAKE GASKETS.,"INTAKES NUMBERS TWO, THREE, AND FOUR LEAKING. REPLACED INTAKE GASKETS.",
105178,#1 ROCKER COVER GASKET LEAKS.,REMOVED & REPLACED GASKET.,NUMBER ONE ROCKER COVER GASKET LEAKS. REMOVED AND REPLACED GASKET.,
105179,R/H REAR ENGINE BAFFLE MOUNT LOOSE.,"REMOVED ENGINE BAFFLE, TIGHTENED SCREWS & REINSTALLED E","RIGHT-HAND REAR ENGINE BAFFLE MOUNT LOOSE. REMOVED ENGINE BAFFLE, TIGHTENED SCREWS AND REINSTALLED ENGINE BAFFLE",CUTOFF - C
105180,#3 INTAKE LEAKING.,REMOVED & REPLACED GASKET.,NUMBER THREE INTAKE LEAKING. REMOVED AND REPLACED GASKET.,
105181,SNIFFLER VALVES DIRTY.,CLEANED SNIFFLER VALVES.,SNIFFLER VALVES DIRTY. CLEANED SNIFFLER VALVES.,
105182,ENGINE AIR FILTER DIRTY.,REMOVED & REPLACED ENGINE AIR FILTER. NEXT DUE 7/31/17,ENGINE AIR FILTER DIRTY. REMOVED AND REPLACED ENGINE AIR FILTER. NEXT DUE JULY THIRTY FIRST TWO THOUSAND AND SEVENTEEN,
105183,OIL PRESSURE SENDER GROUND STRAP NOT CONNECTED.,RECONNECTED OIL PSI SENDER GROUND STRAP.,OIL PRESSURE SENDER GROUND STRAP NOT CONNECTED. RECONNECTED OIL PSI SENDER GROUND STRAP.,
105184,BOTH BAFFLE PLUGS BROKEN.,REPLACED BOTH BAFFLE PLUGS.,BOTH BAFFLE PLUGS BROKEN. REPLACED BOTH BAFFLE PLUGS.,
105185,BAFFLE SEAL BY #1 CYL LOOSE.,RIVETED BAFFLE SEAL TO BAFFLE.,BAFFLE SEAL BY NUMBER ONE CYLINDER LOOSE. RIVETED BAFFLE SEAL TO BAFFLE.,
105186,#1 & 2 INTAKES LEAKING.,REMOVED & REPLACED GASKETS.,NUMBER ONE AND NUMBER TWO INTAKES LEAKING. REMOVED AND REPLACED GASKETS.,
105187,L/H ENG #2 & 3 INTAKE GASKETS LEAKING.,REPLACED BOTH GASKETS.,LEFT-HAND ENGINE NUMBER TWO AND NUMBER THREE INTAKE GASKETS LEAKING. REPLACED BOTH GASKETS.,
105188,#2 INTAKE LEAKING.,REMOVED & REPLACED GASKET.,NUMBER TWO INTAKE LEAKING. REMOVED AND REPLACED GASKET.,
105189,#2 & 4 INTAKES LEAKING.,REMOVED & REPLACED GASKETS.,NUMBER TWO AND NUMBER FOUR INTAKES LEAKING. REMOVED AND REPLACED GASKETS.,
105190,R/H ENG #3 INTAKE TUBE GASKET LEAKING.,REMOVED & REPLACED W/ NEW GASKET.,RIGHT-HAND ENGINE NUMBER THREE INTAKE TUBE GASKET LEAKING. REMOVED AND REPLACED WITH NEW GASKET.,
105191,BAFFLE WIRE BROKEN.,REMOVED & REPLACED BAFFLE TIE.,BAFFLE WIRE BROKEN. REMOVED AND REPLACED BAFFLE TIE.,
105192,"BRACKET FOR BAFFLE, BEHIND OIL TUBE, CRACKED.",REMOVED & REPLACED BRACKET.,"BRACKET FOR BAFFLE, BEHIND OIL TUBE, CRACKED. REMOVED AND REPLACED BRACKET.",
105193,#4 CYL AFT BAFFLE CRACKED.,DRILLED OFF CRACKED PORTION OF BAFFLE. FABRICATED PIECE,NUMBER FOUR CYLINDER AFT BAFFLE CRACKED. DRILLED OFF CRACKED PORTION OF BAFFLE. FABRICATED PIECE,
105194,#3 CYL SIDE & AFT BAFFLES CRACKED.,FABRICATED PATCH OF LIKE MATERIAL ON AFT BAFFLE & RIVET,NUMBER THREE CYLINDER SIDE AND AFT BAFFLES CRACKED. FABRICATED PATCH OF LIKE MATERIAL ON AFT BAFFLE AND RIVET,
105195,#4 INTAKE LEAKING.,REMOVED & REPLACED GASKET.,NUMBER FOUR INTAKE LEAKING. REMOVED AND REPLACED GASKET.,
105196,#1 ROCKER COVER LEAKING.,REMOVED & REPLACED GASKET.,NUMBER ONE ROCKER COVER LEAKING. REMOVED AND REPLACED GASKET.,
105197,R/H AFT BAFFLE SCREW LOOSE.,RESECURED SCREW.,RIGHT-HAND AFT BAFFLE SCREW LOOSE. RESECURED SCREW.,
105198,DURING CLIMB OUT THE ENGINE RAN ROUGH. SPUTTERING WAS ALSO N,"PERFORMED GROUND RUN OF A/C, NO DEFECTS FOUND. INSPECTE","DURING CLIMB OUT THE ENGINE RAN ROUGH. SPUTTERING WAS ALSO NOTED. PERFORMED GROUND RUN OF AIRCRAFT, NO DEFECTS FOUND.","CUTOFF - C, CUTOFF - T"
105199,L/H ENG #4 CYL BAFFLE WIRE STANDOFF BROKEN.,SEECURED WIRES TO OIL PAN.,LEFT-HAND ENGINE NUMBER FOUR CYLINDER BAFFLE WIRE STANDOFF BROKEN. SECURED WIRES TO OIL PAN.,
105200,#2 CYL ON L/H ENGINE BAFFLE SEAL NEEDS TO BE SECURED.,SECURED BAFFLE SEAL W/ POP RIVETS.,NUMBER TWO CYLINDER ON LEFT-HAND ENGINE BAFFLE SEAL NEEDS TO BE SECURED. SECURED BAFFLE SEAL WITH POP RIVETS.,
105201,#4 ROCKER COVER GASKET LEAKING ON L/H ENGINE.,REMOVED & REPLACED W/ NEW SILICONE GASKET.,NUMBER FOUR ROCKER COVER GASKET LEAKING ON LEFT-HAND ENGINE. REMOVED AND REPLACED WITH NEW SILICONE GASKET.,
105202,#4 INTAKE GASKET LEAKING ON L/H ENGINE.,REMOVED & REPLACED W/ NEW INTAKE GASKET. FOUND PRIMER L,NUMBER FOUR INTAKE GASKET LEAKING ON LEFT-HAND ENGINE. REMOVED AND REPLACED WITH NEW INTAKE GASKET.,CUTOFF - T
105203,#1 CYLINDER BAFFLE SEAL NEEDS TO BE REPLACED ON L/H ENGINE.,REMOVED OLD SEAL & INSTALLED NEW SEAL.,NUMBER ONE CYLINDER BAFFLE SEAL NEEDS TO BE REPLACED ON LEFT-HAND ENGINE. REMOVED OLD SEAL AND INSTALLED NEW SEAL.,
105204,COWL SEAL MISSING/LOOSE ON LOWER R/H ENGINE.,REGLUED IN POSITION.,"COWL SEAL MISSING, LOOSE ON LOWER RIGHT-HAND ENGINE. REGLUED IN POSITION.",PUNC - S
105205,#2 INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,NUMBER TWO INTAKE GASKET IS LEAKING. REMOVED AND REPLACED GASKET.,
105206,R/H ENGINE CARB HEAT BOX ARM LOOSE.,RESECURED CARB HEAT BOX ARM.,RIGHT-HAND ENGINE CARB HEAT BOX ARM LOOSE. RESECURED CARB HEAT BOX ARM.,
105207,CARB INLET GASKETS LEAKING ON BOTH ENGINES.,REMOVED & REPLACED L/H GASKET.,CARB INLET GASKETS LEAKING ON BOTH ENGINES. REMOVED AND REPLACED LEFT-HAND GASKET.,
105208,CARB INLET GASKETS LEAKING ON BOTH ENGINES.,REMOVED & REPLACED R/H GASKET.,CARB INLET GASKETS LEAKING ON BOTH ENGINES. REMOVED AND REPLACED RIGHT-HAND GASKET.,
105209,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,NUMBER TWO INTAKE GASKET LEAKING. REMOVED AND REPLACED GASKET.,
105210,L/H INNER ENGINE BAFFLE TIE IS DISCONNECTED.,RECONNECTED BAFFLE TIE.,LEFT-HAND INNER ENGINE BAFFLE TIE IS DISCONNECTED. RECONNECTED BAFFLE TIE.,
105211,#4 INTAKE GASKET IS LEAKING.,REPLACED GASKETS. LEAK CK GOOD.,NUMBER FOUR INTAKE GASKET IS LEAKING. REPLACED GASKETS. LEAK CHECK GOOD.,
105212,"BAFFLE PLUGS ARE LOOSE, PATCHES ARE NEEDED.",INSTALLED BAFFLE PATCHES.,"BAFFLE PLUGS ARE LOOSE, PATCHES ARE NEEDED. INSTALLED BAFFLE PATCHES.",
105213,#2 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.,NUMBER TWO INTAKE LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
105214,"ENGINE RAN ROUGH AFTER START UP, W/ GAINS & DROPS OF ABOUT 8","PERFORMED GROUND RUN, OPS CK'ED GOOD. NO DEFECTS NOTED.","ENGINE RAN ROUGH AFTER START UP, WITH GAINS AND DROPS OF ABOUT EIGHT. PERFORMED GROUND RUN, OPERATIONS CHECKED GOOD. NO DEFECTS NOTED.",
105215,#3 & 4 INTAKES LEAKING.,REPLACED INTAKE GASKETS.,NUMBER THREE AND NUMBER FOUR INTAKES LEAKING. REPLACED INTAKE GASKETS.,
105216,IDLE LOW.,"PERFORMED SEASONAL ADJUSTMENT, OPS GOOD.","IDLE LOW. PERFORMED SEASONAL ADJUSTMENT, OPERATIONS GOOD.",
105217,DURING POST FLIGHT FOUND OIL ON INTAKE PIPES.,"CLEANED OIL, RAN A/C, NO LEAKS NOTED. FOUND OIL TO BE R","DURING POST FLIGHT FOUND OIL ON INTAKE PIPES. CLEANED OIL, RAN AIRCRAFT, NO LEAKS NOTED.",CUTOFF - T
105218,L/H ENG #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.,LEFT-HAND ENGINE NUMBER TWO INTAKE GASKET LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
105219,R/H ENG #4 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.,RIGHT-HAND ENGINE NUMBER FOUR INTAKE GASKET LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
105220,R/H ENG #3 ROCKER COVER GASKET LEAKING.,"REMOVED COVER, FOUND DEBRIS UNDER SILICONE GASKET. CLEA","RIGHT-HAND ENGINE NUMBER THREE ROCKER COVER GASKET LEAKING. REMOVED COVER, FOUND DEBRIS UNDER SILICONE GASKET. CLEANED",CUTOFF - C
105221,OIL LEAK ABOVE L/H MAG.,LEAK CK GOOD.,OIL LEAK ABOVE LEFT-HAND MAGNETO. LEAK CHECK GOOD.,
105222,BOTH OIL COOLERS DIRTY.,CLEANED OIL COOLERS.,BOTH OIL COOLERS DIRTY. CLEANED OIL COOLERS.,
105223,SNIFFLER VALVES DIRTY.,CLEANED SNIFFLER VALVES.,SNIFFLER VALVES DIRTY. CLEANED SNIFFLER VALVES.,
105224,OIL LEAK ABOVE L/H MAG.,REMOVED & REPLACED GASKET.,OIL LEAK ABOVE LEFT-HAND MAGNETO. REMOVED AND REPLACED GASKET.,
105225,#1 & 4 INTAKES HAVE EVIDENCE OF LEAKING.,REMOVED & REPLACED GASKETS.,NUMBER ONE AND NUMBER FOUR INTAKES HAVE EVIDENCE OF LEAKING. REMOVED AND REPLACED GASKETS.,
105226,ROUGH ENGINE ON TAKE OFF,RAN UP TO CK FOR ROUGH RUNNING AFTER TAKE OFF. MAGS CK,ROUGH ENGINE ON TAKEOFF. RAN UP TO CHECK FOR ROUGH RUNNING AFTER TAKEOFF. MAGNETOS CHECK,
105227,ROUGH ENGINE ON TAKE OFF,FOR BILLING PURPOSES ONLY,ROUGH ENGINE ON TAKEOFF. FOR BILLING PURPOSES ONLY,
105228,ENGINE IDLE SPEED 1650 RPM.,ADJUSTED IDLE.,ENGINE IDLE SPEED SIXTEEN HUNDRED AND FIFTY RPM. ADJUSTED IDLE.,
105229,BAFFLE PLUGS ARE LOOSE.,INSTALLED BAFFLE PLUG PATCHES & NEW PLUGS.,BAFFLE PLUGS ARE LOOSE. INSTALLED BAFFLE PLUG PATCHES AND NEW PLUGS.,
105230,#4 INTAKE LEAKING.,REMOVED & REPLACED GASKET.,NUMBER FOUR INTAKE LEAKING. REMOVED AND REPLACED GASKET.,
105231,OIL COOLER IS DIRTY.,CLEANED OIL COOLER.,OIL COOLER IS DIRTY. CLEANED OIL COOLER.,
105232,#1 & 4 INTAKES LEAKING ON R/H ENGINE.,REMOVED & REPLACED GASKETS.,NUMBER ONE AND NUMBER FOUR INTAKES LEAKING ON RIGHT-HAND ENGINE. REMOVED AND REPLACED GASKETS.,
105233,"INTAKES #2, 3 & 4 LEAKING ON L/H ENGINE.",REMOVED & REPLACED INTAKE GASKETS.,"INTAKES NUMBERS TWO, THREE AND FOUR LEAKING ON LEFT-HAND ENGINE. REMOVED AND REPLACED INTAKE GASKETS.",
105234,R/H AIR INTAKE HOSE NOT HOOKED UP.,"REINSTALLED SCAT TUBING, TIGHTENED CLAMP.","RIGHT-HAND AIR INTAKE HOSE NOT HOOKED UP. REINSTALLED SCAT TUBING, TIGHTENED CLAMP.",
105235,#2 INTAKE GASKET LEAKING.,REPLACED GASKET.,NUMBER TWO INTAKE GASKET LEAKING. REPLACED GASKET.,
105236,BAFFLE SEAL ABOVE #3 CYL LOOSE.,RESECURED BAFFLE SEAL.,BAFFLE SEAL ABOVE NUMBER THREE CYLINDER LOOSE. RESECURED BAFFLE SEAL.,
105237,L/H AFT STAND OFF BROKEN.,REPLACED STAND OFF.,LEFT-HAND AFT STANDOFF BROKEN. REPLACED STANDOFF.,
